epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.87998,0.75333,0.75333,0.74476,0.0009973
1,0.61992,0.86667,0.86667,0.86476,0.0009891
2,0.36738,0.90333,0.90333,0.90505,0.0009755
3,0.29398,0.92,0.92,0.9206,0.0009568
4,0.21824,0.93333,0.93333,0.93402,0.000933
5,0.19481,0.93667,0.93667,0.93741,0.0009045
6,0.16889,0.93,0.93,0.93069,0.0008716
7,0.15299,0.94,0.94,0.94073,0.0008346
8,0.14689,0.94,0.94,0.94073,0.0007939
9,0.13292,0.94333,0.94333,0.94403,0.00075
10,0.11927,0.94333,0.94333,0.94403,0.0007034
11,0.10989,0.94,0.94,0.9407,0.0006545
12,0.11002,0.94,0.94,0.94064,0.000604
13,0.09552,0.94333,0.94333,0.94403,0.0005523
14,0.08985,0.94,0.94,0.94064,0.0005
15,0.08523,0.93667,0.93667,0.93731,0.0004477
16,0.0879,0.94333,0.94333,0.94403,0.000396
17,0.07825,0.94,0.94,0.94064,0.0003455
18,0.07664,0.93667,0.93667,0.93731,0.0002966
19,0.08133,0.94,0.94,0.94064,0.00025
20,0.07776,0.94,0.94,0.94064,0.0002061
21,0.07222,0.94,0.94,0.94064,0.0001654
22,0.07269,0.94,0.94,0.94064,0.0001284
23,0.07367,0.94,0.94,0.94064,9.55e-05
24,0.07156,0.94,0.94,0.94064,6.7e-05
25,0.06657,0.94,0.94,0.94064,4.32e-05
26,0.07352,0.94,0.94,0.94064,2.45e-05
27,0.0692,0.94,0.94,0.94064,1.09e-05
28,0.07066,0.94,0.94,0.94064,2.7e-06
29,0.07064,0.94,0.94,0.94064,0.0
