epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,2.31855,0.11,0.11,0.09071,0.0002992
1,2.21089,0.29,0.29,0.25523,0.0002967
2,2.1121,0.42667,0.42667,0.40112,0.0002927
3,1.99922,0.53333,0.53333,0.5199,0.000287
4,1.88663,0.63333,0.63333,0.62224,0.0002799
5,1.74485,0.70333,0.70333,0.69034,0.0002714
6,1.61266,0.76667,0.76667,0.76052,0.0002615
7,1.48975,0.77333,0.77333,0.76305,0.0002504
8,1.33809,0.77667,0.77667,0.76856,0.0002382
9,1.19875,0.78,0.78,0.7756,0.000225
10,1.10412,0.79333,0.79333,0.79117,0.000211
11,0.97126,0.80667,0.80667,0.80596,0.0001964
12,0.8977,0.8,0.8,0.79911,0.0001812
13,0.85154,0.81,0.81,0.80923,0.0001657
14,0.74545,0.82,0.82,0.81975,0.00015
15,0.70203,0.82,0.82,0.81972,0.0001343
16,0.65748,0.82,0.82,0.81972,0.0001188
17,0.61663,0.81667,0.81667,0.81746,0.0001036
18,0.59105,0.82333,0.82333,0.82435,8.9e-05
19,0.56179,0.82,0.82,0.82117,7.5e-05
20,0.53606,0.83333,0.83333,0.83439,6.18e-05
21,0.53319,0.83,0.83,0.83112,4.96e-05
22,0.50654,0.82667,0.82667,0.82767,3.85e-05
23,0.51061,0.82667,0.82667,0.82767,2.86e-05
24,0.48801,0.83,0.83,0.83094,2.01e-05
25,0.50852,0.82667,0.82667,0.82767,1.3e-05
26,0.47197,0.83,0.83,0.83094,7.3e-06
27,0.49974,0.82667,0.82667,0.82778,3.3e-06
28,0.47421,0.83,0.83,0.83094,8e-07
29,0.49245,0.82333,0.82333,0.82461,0.0
