epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.72062,0.68333,0.68333,0.67431,0.0009973
1,0.4459,0.81667,0.81667,0.81311,0.0009891
2,0.24403,0.85333,0.85333,0.84957,0.0009755
3,0.16427,0.88333,0.88333,0.87962,0.0009568
4,0.15518,0.88333,0.88333,0.88139,0.000933
5,0.13483,0.89,0.89,0.88853,0.0009045
6,0.11062,0.9,0.9,0.89752,0.0008716
7,0.09468,0.91333,0.91333,0.91232,0.0008346
8,0.08166,0.9,0.9,0.89834,0.0007939
9,0.08083,0.90667,0.90667,0.90561,0.00075
10,0.06996,0.90333,0.90333,0.90223,0.0007034
11,0.06991,0.89667,0.89667,0.89585,0.0006545
12,0.0635,0.9,0.9,0.89901,0.000604
13,0.06182,0.90333,0.90333,0.90236,0.0005523
14,0.06106,0.90667,0.90667,0.90604,0.0005
15,0.05286,0.91333,0.91333,0.91237,0.0004477
16,0.07592,0.90667,0.90667,0.90604,0.000396
17,0.05366,0.9,0.9,0.89909,0.0003455
18,0.04707,0.90333,0.90333,0.90249,0.0002966
19,0.0598,0.9,0.9,0.89943,0.00025
20,0.07667,0.90333,0.90333,0.9025,0.0002061
21,0.04577,0.89667,0.89667,0.89627,0.0001654
22,0.04863,0.89333,0.89333,0.89275,0.0001284
23,0.04505,0.9,0.9,0.89936,9.55e-05
24,0.04451,0.90333,0.90333,0.90284,6.7e-05
25,0.04199,0.90333,0.90333,0.90284,4.32e-05
26,0.04174,0.90333,0.90333,0.90284,2.45e-05
27,0.04169,0.90333,0.90333,0.90284,1.09e-05
28,0.0444,0.90333,0.90333,0.90284,2.7e-06
29,0.04658,0.90333,0.90333,0.90284,0.0
