epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.87673,0.66333,0.66333,0.65494,0.0002992
1,0.83114,0.73,0.73,0.73083,0.0002967
2,0.37184,0.77333,0.77333,0.7716,0.0002927
3,0.20103,0.79,0.79,0.78722,0.000287
4,0.13968,0.79,0.79,0.78862,0.0002799
5,0.09343,0.77,0.77,0.77073,0.0002714
6,0.07517,0.76333,0.76333,0.76078,0.0002615
7,0.05388,0.78333,0.78333,0.78434,0.0002504
8,0.04972,0.77333,0.77333,0.76619,0.0002382
9,0.04163,0.80333,0.80333,0.80021,0.000225
10,0.03538,0.77667,0.77667,0.76797,0.000211
11,0.028,0.79333,0.79333,0.79028,0.0001964
12,0.02172,0.78333,0.78333,0.77887,0.0001812
13,0.02334,0.78,0.78,0.77714,0.0001657
14,0.01643,0.78333,0.78333,0.78268,0.00015
15,0.01623,0.78,0.78,0.77725,0.0001343
16,0.01532,0.81,0.81,0.80845,0.0001188
17,0.01408,0.80333,0.80333,0.80049,0.0001036
18,0.01046,0.79667,0.79667,0.79491,8.9e-05
19,0.00866,0.79667,0.79667,0.79281,7.5e-05
20,0.00786,0.79667,0.79667,0.79451,6.18e-05
21,0.00962,0.79667,0.79667,0.79591,4.96e-05
22,0.00943,0.80333,0.80333,0.80196,3.85e-05
23,0.00744,0.79333,0.79333,0.79063,2.86e-05
24,0.00815,0.79333,0.79333,0.78999,2.01e-05
25,0.0092,0.79333,0.79333,0.79014,1.3e-05
26,0.00946,0.80333,0.80333,0.80168,7.3e-06
27,0.00819,0.80333,0.80333,0.80244,3.3e-06
28,0.00904,0.8,0.8,0.79676,8e-07
29,0.01008,0.79,0.79,0.78856,0.0
