epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.67266,0.63333,0.63333,0.61835,0.0002992
1,0.76583,0.73,0.73,0.72711,0.0002967
2,0.4955,0.82,0.82,0.81849,0.0002927
3,0.30905,0.73667,0.73667,0.72782,0.000287
4,0.27033,0.78333,0.78333,0.77926,0.0002799
5,0.16224,0.80667,0.80667,0.80569,0.0002714
6,0.1288,0.77667,0.77667,0.77188,0.0002615
7,0.15092,0.82667,0.82667,0.82762,0.0002504
8,0.05791,0.79333,0.79333,0.79043,0.0002382
9,0.06326,0.82667,0.82667,0.82798,0.000225
10,0.04846,0.82333,0.82333,0.82632,0.000211
11,0.04887,0.84,0.84,0.84035,0.0001964
12,0.0329,0.80667,0.80667,0.80515,0.0001812
13,0.04196,0.81,0.81,0.81295,0.0001657
14,0.03341,0.81667,0.81667,0.81899,0.00015
15,0.02505,0.80667,0.80667,0.80803,0.0001343
16,0.01703,0.81,0.81,0.81187,0.0001188
17,0.01799,0.83,0.83,0.83197,0.0001036
18,0.0194,0.84,0.84,0.84247,8.9e-05
19,0.02352,0.83,0.83,0.83204,7.5e-05
20,0.01713,0.83333,0.83333,0.83489,6.18e-05
21,0.01823,0.84,0.84,0.84071,4.96e-05
22,0.01116,0.85667,0.85667,0.85686,3.85e-05
23,0.0169,0.86,0.86,0.85975,2.86e-05
24,0.02033,0.86333,0.86333,0.86267,2.01e-05
25,0.00984,0.86,0.86,0.85948,1.3e-05
26,0.04809,0.86,0.86,0.85948,7.3e-06
27,0.01159,0.86333,0.86333,0.86327,3.3e-06
28,0.01018,0.86333,0.86333,0.86327,8e-07
29,0.00943,0.86333,0.86333,0.86327,0.0
