epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.58545,0.77667,0.77667,0.74767,0.0002992
1,0.40447,0.88,0.88,0.87829,0.0002967
2,0.12326,0.84333,0.84333,0.84004,0.0002927
3,0.04506,0.85333,0.85333,0.85124,0.000287
4,0.01711,0.87,0.87,0.87082,0.0002799
5,0.00737,0.86667,0.86667,0.86463,0.0002714
6,0.00358,0.86667,0.86667,0.86622,0.0002615
7,0.00286,0.88,0.88,0.88027,0.0002504
8,0.00197,0.89333,0.89333,0.894,0.0002382
9,0.00152,0.88667,0.88667,0.88719,0.000225
10,0.00115,0.89333,0.89333,0.89389,0.000211
11,0.00099,0.89,0.89,0.89059,0.0001964
12,0.00094,0.88667,0.88667,0.88709,0.0001812
13,0.00088,0.88667,0.88667,0.88709,0.0001657
14,0.00097,0.88667,0.88667,0.88709,0.00015
15,0.00076,0.88667,0.88667,0.88709,0.0001343
16,0.00079,0.89,0.89,0.89059,0.0001188
17,0.00072,0.89,0.89,0.89059,0.0001036
18,0.00073,0.89,0.89,0.89059,8.9e-05
19,0.00069,0.89,0.89,0.89059,7.5e-05
20,0.00068,0.89,0.89,0.89059,6.18e-05
21,0.00081,0.89,0.89,0.89059,4.96e-05
22,0.00069,0.89,0.89,0.89059,3.85e-05
23,0.00063,0.89,0.89,0.89059,2.86e-05
24,0.00065,0.89,0.89,0.89059,2.01e-05
25,0.00063,0.89,0.89,0.89059,1.3e-05
26,0.00063,0.89,0.89,0.89059,7.3e-06
27,0.00063,0.89,0.89,0.89059,3.3e-06
28,0.0006,0.89,0.89,0.89059,8e-07
29,0.00066,0.89,0.89,0.89059,0.0
