epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,0.67343,0.83333,0.83333,0.83245,0.0002992
1,0.10916,0.85333,0.85333,0.85599,0.0002967
2,0.05489,0.81,0.81,0.80523,0.0002927
3,0.06872,0.82333,0.82333,0.82073,0.000287
4,0.03258,0.85,0.85,0.84817,0.0002799
5,0.0191,0.86333,0.86333,0.86281,0.0002714
6,0.01094,0.86,0.86,0.85964,0.0002615
7,0.01333,0.85,0.85,0.84961,0.0002504
8,0.01475,0.86667,0.86667,0.86685,0.0002382
9,0.01793,0.86,0.86,0.86033,0.000225
10,0.01528,0.86667,0.86667,0.86556,0.000211
11,0.00773,0.85,0.85,0.85064,0.0001964
12,0.00928,0.85667,0.85667,0.85599,0.0001812
13,0.00249,0.85333,0.85333,0.85115,0.0001657
14,0.00397,0.85333,0.85333,0.85308,0.00015
15,0.00161,0.86,0.86,0.85878,0.0001343
16,0.00305,0.87,0.87,0.87099,0.0001188
17,0.00265,0.84667,0.84667,0.84491,0.0001036
18,0.00067,0.85333,0.85333,0.85213,8.9e-05
19,0.00066,0.84667,0.84667,0.84649,7.5e-05
20,0.00043,0.84333,0.84333,0.84306,6.18e-05
21,0.0004,0.85,0.85,0.85029,4.96e-05
22,0.00087,0.85,0.85,0.84996,3.85e-05
23,0.00062,0.85667,0.85667,0.85608,2.86e-05
24,0.00036,0.85667,0.85667,0.85608,2.01e-05
25,0.00037,0.85667,0.85667,0.85608,1.3e-05
26,0.00052,0.86,0.86,0.85891,7.3e-06
27,0.00034,0.86,0.86,0.85891,3.3e-06
28,0.00033,0.86,0.86,0.85891,8e-07
29,0.00034,0.86,0.86,0.85891,0.0
