variant,model,class,acc_mean,acc_std
C,resnet18,Maine_Coon,0.5467,0.0205
C,resnet18,Ragdoll,0.47,0.0883
C,resnet18,Birman,0.5433,0.1327
C,resnet18,Siamese,0.8033,0.0249
C,resnet18,Persian,0.83,0.051
C,resnet18,boxer,0.7172,0.0719
C,resnet18,american_bulldog,0.63,0.1551
C,resnet18,staffordshire_bull_terrier,0.8652,0.0092
C,resnet18,english_cocker_spaniel,0.77,0.0712
C,resnet18,english_setter,0.9067,0.0411
D,convnext_tiny,Maine_Coon,0.8058,0.0388
D,convnext_tiny,Ragdoll,0.5925,0.0957
D,convnext_tiny,Birman,0.8875,0.0476
D,convnext_tiny,Siamese,0.8542,0.0377
D,convnext_tiny,Persian,0.9142,0.0243
D,convnext_tiny,boxer,0.8948,0.0372
D,convnext_tiny,american_bulldog,0.88,0.0311
D,convnext_tiny,staffordshire_bull_terrier,0.8221,0.0569
D,convnext_tiny,english_cocker_spaniel,0.9683,0.0134
D,convnext_tiny,english_setter,0.9408,0.0362
D,deit_tiny,Maine_Coon,0.77,0.0329
D,deit_tiny,Ragdoll,0.5842,0.0772
D,deit_tiny,Birman,0.8167,0.065
D,deit_tiny,Siamese,0.82,0.0806
D,deit_tiny,Persian,0.8242,0.0459
D,deit_tiny,boxer,0.8695,0.0361
D,deit_tiny,american_bulldog,0.7842,0.0901
D,deit_tiny,staffordshire_bull_terrier,0.7434,0.0454
D,deit_tiny,english_cocker_spaniel,0.8783,0.0513
D,deit_tiny,english_setter,0.8858,0.0527
D,dinov2_small,Maine_Coon,0.785,0.0395
D,dinov2_small,Ragdoll,0.5625,0.0521
D,dinov2_small,Birman,0.9467,0.0272
D,dinov2_small,Siamese,0.8958,0.0287
D,dinov2_small,Persian,0.92,0.0129
D,dinov2_small,boxer,0.9184,0.012
D,dinov2_small,american_bulldog,0.9558,0.0171
D,dinov2_small,staffordshire_bull_terrier,0.9129,0.0344
D,dinov2_small,english_cocker_spaniel,0.9808,0.0132
D,dinov2_small,english_setter,0.9608,0.0064
D,resnet18,Maine_Coon,0.76,0.0334
D,resnet18,Ragdoll,0.58,0.0385
D,resnet18,Birman,0.8467,0.0392
D,resnet18,Siamese,0.8642,0.0419
D,resnet18,Persian,0.8892,0.0206
D,resnet18,boxer,0.8754,0.036
D,resnet18,american_bulldog,0.7875,0.0784
D,resnet18,staffordshire_bull_terrier,0.8043,0.0398
D,resnet18,english_cocker_spaniel,0.9183,0.0483
D,resnet18,english_setter,0.885,0.0703
E,convnext_tiny,Maine_Coon,0.8433,0.0236
E,convnext_tiny,Ragdoll,0.6333,0.0665
E,convnext_tiny,Birman,0.83,0.0283
E,convnext_tiny,Siamese,0.88,0.0432
E,convnext_tiny,Persian,0.9267,0.0125
E,convnext_tiny,boxer,0.9158,0.0208
E,convnext_tiny,american_bulldog,0.8467,0.0499
E,convnext_tiny,staffordshire_bull_terrier,0.8015,0.0212
E,convnext_tiny,english_cocker_spaniel,0.93,0.0245
E,convnext_tiny,english_setter,0.9667,0.017
E,deit_tiny,Maine_Coon,0.76,0.0163
E,deit_tiny,Ragdoll,0.6333,0.0634
E,deit_tiny,Birman,0.7233,0.0525
