epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,2.25253,0.33667,0.33667,0.32967,0.0002992
1,2.02545,0.61,0.61,0.60127,0.0002967
2,1.74755,0.75667,0.75667,0.75271,0.0002927
3,1.45886,0.76333,0.76333,0.75345,0.000287
4,1.19594,0.82667,0.82667,0.81928,0.0002799
5,0.95302,0.83,0.83,0.82685,0.0002714
6,0.76273,0.82667,0.82667,0.82354,0.0002615
7,0.60865,0.84333,0.84333,0.84142,0.0002504
8,0.51261,0.85333,0.85333,0.85114,0.0002382
9,0.42809,0.83667,0.83667,0.83444,0.000225
10,0.37272,0.83333,0.83333,0.83088,0.000211
11,0.32828,0.84333,0.84333,0.84184,0.0001964
12,0.2791,0.84333,0.84333,0.84172,0.0001812
13,0.24946,0.84667,0.84667,0.84321,0.0001657
14,0.22573,0.84333,0.84333,0.84064,0.00015
15,0.21015,0.84,0.84,0.8378,0.0001343
16,0.17206,0.85,0.85,0.84901,0.0001188
17,0.17824,0.84667,0.84667,0.84572,0.0001036
18,0.14804,0.85333,0.85333,0.85219,8.9e-05
19,0.13973,0.85667,0.85667,0.85549,7.5e-05
20,0.13767,0.86,0.86,0.85897,6.18e-05
21,0.14423,0.85,0.85,0.84925,4.96e-05
22,0.13215,0.85,0.85,0.84903,3.85e-05
23,0.13437,0.85333,0.85333,0.85256,2.86e-05
24,0.11912,0.85333,0.85333,0.85256,2.01e-05
25,0.11555,0.86,0.86,0.85916,1.3e-05
26,0.1235,0.85667,0.85667,0.85586,7.3e-06
27,0.11591,0.85667,0.85667,0.85586,3.3e-06
28,0.11895,0.85667,0.85667,0.85586,8e-07
29,0.11919,0.85667,0.85667,0.85586,0.0
