epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,2.09093,0.55,0.55,0.52541,0.0002992
1,1.41356,0.71333,0.71333,0.70473,0.0002967
2,0.83945,0.75333,0.75333,0.7493,0.0002927
3,0.52657,0.75333,0.75333,0.74699,0.000287
4,0.33149,0.8,0.8,0.79833,0.0002799
5,0.23817,0.77333,0.77333,0.76956,0.0002714
6,0.17116,0.81333,0.81333,0.81309,0.0002615
7,0.12417,0.82,0.82,0.81804,0.0002504
8,0.0985,0.81667,0.81667,0.81591,0.0002382
9,0.07629,0.84,0.84,0.8406,0.000225
10,0.06519,0.81333,0.81333,0.81273,0.000211
11,0.0593,0.81667,0.81667,0.81545,0.0001964
12,0.04726,0.82667,0.82667,0.8261,0.0001812
13,0.03684,0.82333,0.82333,0.82381,0.0001657
14,0.03493,0.84,0.84,0.84121,0.00015
15,0.03409,0.85667,0.85667,0.8576,0.0001343
16,0.03139,0.83,0.83,0.82953,0.0001188
17,0.02302,0.82333,0.82333,0.82326,0.0001036
18,0.02493,0.80333,0.80333,0.80511,8.9e-05
19,0.02798,0.82333,0.82333,0.82339,7.5e-05
20,0.02147,0.83667,0.83667,0.8375,6.18e-05
21,0.01982,0.84,0.84,0.84081,4.96e-05
22,0.02185,0.84,0.84,0.83882,3.85e-05
23,0.01831,0.84667,0.84667,0.84641,2.86e-05
24,0.01882,0.84,0.84,0.83856,2.01e-05
25,0.01815,0.85333,0.85333,0.85278,1.3e-05
26,0.0193,0.85333,0.85333,0.85263,7.3e-06
27,0.01559,0.85,0.85,0.84827,3.3e-06
28,0.01743,0.85,0.85,0.84911,8e-07
29,0.01387,0.84667,0.84667,0.84734,0.0
