epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,0.64749,0.79667,0.79667,0.79798,0.0002992
1,0.24206,0.71667,0.71667,0.71161,0.0002967
2,0.17075,0.74333,0.74333,0.74047,0.0002927
3,0.13534,0.75333,0.75333,0.75327,0.000287
4,0.10827,0.78333,0.78333,0.78645,0.0002799
5,0.09335,0.77333,0.77333,0.77466,0.0002714
6,0.08223,0.75,0.75,0.74561,0.0002615
7,0.07593,0.72667,0.72667,0.71677,0.0002504
8,0.08142,0.74,0.74,0.73817,0.0002382
9,0.05,0.76333,0.76333,0.75997,0.000225
10,0.05002,0.75333,0.75333,0.74696,0.000211
11,0.04488,0.74333,0.74333,0.74304,0.0001964
12,0.02423,0.78333,0.78333,0.78397,0.0001812
13,0.04216,0.77667,0.77667,0.7741,0.0001657
14,0.03711,0.78333,0.78333,0.78268,0.00015
15,0.01416,0.81,0.81,0.80928,0.0001343
16,0.01325,0.78,0.78,0.78061,0.0001188
17,0.00976,0.78667,0.78667,0.78703,0.0001036
18,0.00566,0.79,0.79,0.78977,8.9e-05
19,0.00405,0.79333,0.79333,0.7932,7.5e-05
20,0.00403,0.79667,0.79667,0.79429,6.18e-05
21,0.00383,0.79333,0.79333,0.79388,4.96e-05
22,0.00559,0.78,0.78,0.78148,3.85e-05
23,0.00287,0.78333,0.78333,0.78358,2.86e-05
24,0.00155,0.78667,0.78667,0.78683,2.01e-05
25,0.00263,0.78667,0.78667,0.78655,1.3e-05
26,0.00478,0.78333,0.78333,0.78358,7.3e-06
27,0.00217,0.78667,0.78667,0.78657,3.3e-06
28,0.00198,0.78667,0.78667,0.78657,8e-07
29,0.00166,0.78667,0.78667,0.78657,0.0
