epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,2.25687,0.36667,0.36667,0.31889,0.0002992
1,2.02669,0.54,0.54,0.5335,0.0002967
2,1.75869,0.62333,0.62333,0.61187,0.0002927
3,1.46791,0.71,0.71,0.7023,0.000287
4,1.20443,0.73667,0.73667,0.72918,0.0002799
5,0.96135,0.75,0.75,0.74353,0.0002714
6,0.78167,0.79,0.79,0.78736,0.0002615
7,0.61281,0.79,0.79,0.78801,0.0002504
8,0.53239,0.80333,0.80333,0.80237,0.0002382
9,0.43242,0.81,0.81,0.80821,0.000225
10,0.37496,0.81333,0.81333,0.81209,0.000211
11,0.2824,0.80333,0.80333,0.80268,0.0001964
12,0.25311,0.81667,0.81667,0.81607,0.0001812
13,0.21991,0.82333,0.82333,0.82479,0.0001657
14,0.20585,0.83667,0.83667,0.83622,0.00015
15,0.18794,0.83333,0.83333,0.83313,0.0001343
16,0.15456,0.84,0.84,0.83926,0.0001188
17,0.14576,0.84333,0.84333,0.8444,0.0001036
18,0.12949,0.83667,0.83667,0.83642,8.9e-05
19,0.11827,0.84667,0.84667,0.84614,7.5e-05
20,0.11902,0.82667,0.82667,0.82713,6.18e-05
21,0.11468,0.83,0.83,0.82907,4.96e-05
22,0.11438,0.84,0.84,0.84015,3.85e-05
23,0.1152,0.84,0.84,0.84015,2.86e-05
24,0.10461,0.83667,0.83667,0.8365,2.01e-05
25,0.11519,0.83667,0.83667,0.8359,1.3e-05
26,0.11321,0.83667,0.83667,0.83576,7.3e-06
27,0.09964,0.83333,0.83333,0.83349,3.3e-06
28,0.09343,0.83667,0.83667,0.83694,8e-07
29,0.09131,0.83,0.83,0.82997,0.0
