epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,0.63144,0.84667,0.84667,0.84387,0.0002992
1,0.14052,0.9,0.9,0.89819,0.0002967
2,0.0526,0.92333,0.92333,0.92329,0.0002927
3,0.03283,0.84333,0.84333,0.8426,0.000287
4,0.04298,0.89,0.89,0.88804,0.0002799
5,0.03908,0.88667,0.88667,0.88527,0.0002714
6,0.01834,0.92333,0.92333,0.92336,0.0002615
7,0.00412,0.9,0.9,0.89817,0.0002504
8,0.00523,0.9,0.9,0.90032,0.0002382
9,0.01084,0.87667,0.87667,0.87456,0.000225
10,0.01508,0.87,0.87,0.87045,0.000211
11,0.01026,0.88667,0.88667,0.88386,0.0001964
12,0.02322,0.91333,0.91333,0.91343,0.0001812
13,0.00579,0.93,0.93,0.93072,0.0001657
14,0.0013,0.92,0.92,0.92105,0.00015
15,0.00182,0.90333,0.90333,0.90324,0.0001343
16,0.00098,0.90333,0.90333,0.90348,0.0001188
17,0.0009,0.90667,0.90667,0.90687,0.0001036
18,0.00089,0.91,0.91,0.91006,8.9e-05
19,0.00046,0.90333,0.90333,0.90267,7.5e-05
20,0.00062,0.91,0.91,0.91002,6.18e-05
21,0.00044,0.91333,0.91333,0.91365,4.96e-05
22,0.00077,0.91333,0.91333,0.91365,3.85e-05
23,0.00121,0.92,0.92,0.92036,2.86e-05
24,0.00035,0.91667,0.91667,0.91702,2.01e-05
25,0.0004,0.91667,0.91667,0.91702,1.3e-05
26,0.0003,0.91667,0.91667,0.91702,7.3e-06
27,0.00031,0.91667,0.91667,0.91702,3.3e-06
28,0.00031,0.91667,0.91667,0.91702,8e-07
29,0.00061,0.91667,0.91667,0.91702,0.0
