epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,2.071,0.55667,0.55667,0.49892,0.0002992
1,1.38794,0.69,0.69,0.6546,0.0002967
2,0.82191,0.72333,0.72333,0.69967,0.0002927
3,0.54385,0.79667,0.79667,0.79532,0.000287
4,0.38721,0.82667,0.82667,0.82286,0.0002799
5,0.33545,0.83,0.83,0.82946,0.0002714
6,0.24652,0.86333,0.86333,0.86243,0.0002615
7,0.2083,0.83333,0.83333,0.8313,0.0002504
8,0.2164,0.84,0.84,0.83382,0.0002382
9,0.18891,0.85667,0.85667,0.8543,0.000225
10,0.13936,0.84333,0.84333,0.8402,0.000211
11,0.12017,0.86667,0.86667,0.86666,0.0001964
12,0.18618,0.85667,0.85667,0.85728,0.0001812
13,0.12951,0.85667,0.85667,0.85571,0.0001657
14,0.16358,0.87,0.87,0.86864,0.00015
15,0.12249,0.87,0.87,0.86932,0.0001343
16,0.14018,0.85333,0.85333,0.85101,0.0001188
17,0.14585,0.86,0.86,0.85807,0.0001036
18,0.13529,0.87333,0.87333,0.87319,8.9e-05
19,0.11007,0.85667,0.85667,0.8555,7.5e-05
20,0.14189,0.86,0.86,0.85834,6.18e-05
21,0.10814,0.88,0.88,0.87902,4.96e-05
22,0.11772,0.88,0.88,0.87976,3.85e-05
23,0.13194,0.87,0.87,0.86888,2.86e-05
24,0.11022,0.88333,0.88333,0.88291,2.01e-05
25,0.11649,0.87,0.87,0.86806,1.3e-05
26,0.1107,0.87333,0.87333,0.87047,7.3e-06
27,0.10305,0.88,0.88,0.8788,3.3e-06
28,0.10522,0.87333,0.87333,0.87188,8e-07
29,0.11895,0.88,0.88,0.87881,0.0
