epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.01161,0.81667,0.81667,0.8144,0.0009973
1,0.22002,0.85667,0.85667,0.85947,0.0009891
2,0.13601,0.85333,0.85333,0.85488,0.0009755
3,0.10047,0.87,0.87,0.87141,0.0009568
4,0.08219,0.86,0.86,0.86163,0.000933
5,0.07105,0.84667,0.84667,0.84899,0.0009045
6,0.06282,0.85,0.85,0.85125,0.0008716
7,0.0558,0.85,0.85,0.8498,0.0008346
8,0.04603,0.85333,0.85333,0.85319,0.0007939
9,0.04427,0.84333,0.84333,0.84543,0.00075
10,0.04128,0.83,0.83,0.8285,0.0007034
11,0.03993,0.84333,0.84333,0.84255,0.0006545
12,0.03714,0.84333,0.84333,0.84438,0.000604
13,0.03665,0.83667,0.83667,0.83509,0.0005523
14,0.03262,0.85,0.85,0.85028,0.0005
15,0.03082,0.84333,0.84333,0.84317,0.0004477
16,0.02963,0.84,0.84,0.83955,0.000396
17,0.02891,0.84,0.84,0.83955,0.0003455
18,0.02663,0.84,0.84,0.83955,0.0002966
19,0.02837,0.84,0.84,0.83955,0.00025
20,0.02679,0.83333,0.83333,0.83278,0.0002061
21,0.02379,0.84,0.84,0.83955,0.0001654
22,0.02657,0.84,0.84,0.83955,0.0001284
23,0.02498,0.84,0.84,0.83955,9.55e-05
24,0.02373,0.83667,0.83667,0.83585,6.7e-05
25,0.02502,0.84,0.84,0.83955,4.32e-05
26,0.02445,0.84,0.84,0.83955,2.45e-05
27,0.02551,0.83667,0.83667,0.83585,1.09e-05
28,0.02529,0.83667,0.83667,0.83585,2.7e-06
29,0.02555,0.83667,0.83667,0.83585,0.0
