epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.29336,0.82333,0.82333,0.82207,0.0009973
1,0.18195,0.88,0.88,0.87991,0.0009891
2,0.10727,0.88667,0.88667,0.88707,0.0009755
3,0.0752,0.89,0.89,0.88926,0.0009568
4,0.06099,0.88667,0.88667,0.88648,0.000933
5,0.04986,0.89333,0.89333,0.89316,0.0009045
6,0.04278,0.88,0.88,0.87962,0.0008716
7,0.0397,0.89,0.89,0.88962,0.0008346
8,0.03279,0.88333,0.88333,0.88289,0.0007939
9,0.03131,0.88667,0.88667,0.88635,0.00075
10,0.02852,0.88,0.88,0.87931,0.0007034
11,0.03442,0.89667,0.89667,0.89661,0.0006545
12,0.02528,0.89667,0.89667,0.89661,0.000604
13,0.02311,0.89333,0.89333,0.8932,0.0005523
14,0.02011,0.88667,0.88667,0.88626,0.0005
15,0.0202,0.89,0.89,0.88975,0.0004477
16,0.02,0.88667,0.88667,0.88626,0.000396
17,0.0181,0.89333,0.89333,0.89314,0.0003455
18,0.01656,0.89,0.89,0.88965,0.0002966
19,0.01974,0.89,0.89,0.88985,0.00025
20,0.01715,0.89,0.89,0.88927,0.0002061
21,0.01606,0.89667,0.89667,0.89673,0.0001654
22,0.01508,0.9,0.9,0.90018,0.0001284
23,0.01418,0.89667,0.89667,0.89673,9.55e-05
24,0.01611,0.89667,0.89667,0.89673,6.7e-05
25,0.01362,0.89667,0.89667,0.89673,4.32e-05
26,0.01435,0.89667,0.89667,0.89673,2.45e-05
27,0.01495,0.89667,0.89667,0.89673,1.09e-05
28,0.01403,0.89667,0.89667,0.89673,2.7e-06
29,0.01464,0.89667,0.89667,0.89673,0.0
