epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.25794,0.79333,0.79333,0.78753,0.0009973
1,0.45364,0.9,0.9,0.90068,0.0009891
2,0.24511,0.90667,0.90667,0.9077,0.0009755
3,0.2009,0.92333,0.92333,0.92417,0.0009568
4,0.16744,0.93,0.93,0.93081,0.000933
5,0.15357,0.93,0.93,0.93085,0.0009045
6,0.12799,0.93,0.93,0.93074,0.0008716
7,0.11821,0.93667,0.93667,0.9374,0.0008346
8,0.10688,0.93333,0.93333,0.93407,0.0007939
9,0.09558,0.93333,0.93333,0.93398,0.00075
10,0.09409,0.93667,0.93667,0.93755,0.0007034
11,0.08095,0.93667,0.93667,0.93733,0.0006545
12,0.08732,0.93333,0.93333,0.93398,0.000604
13,0.08617,0.94,0.94,0.94072,0.0005523
14,0.0905,0.94,0.94,0.94072,0.0005
15,0.09102,0.94,0.94,0.94064,0.0004477
16,0.08244,0.93667,0.93667,0.93764,0.000396
17,0.06177,0.94,0.94,0.94066,0.0003455
18,0.06433,0.93667,0.93667,0.93733,0.0002966
19,0.0629,0.94,0.94,0.94082,0.00025
20,0.06213,0.94333,0.94333,0.944,0.0002061
21,0.05352,0.93667,0.93667,0.93737,0.0001654
22,0.05866,0.93667,0.93667,0.93737,0.0001284
23,0.05311,0.93333,0.93333,0.93398,9.55e-05
24,0.05812,0.93333,0.93333,0.93398,6.7e-05
25,0.05504,0.93333,0.93333,0.93398,4.32e-05
26,0.05804,0.93333,0.93333,0.93398,2.45e-05
27,0.05249,0.93333,0.93333,0.93398,1.09e-05
28,0.05926,0.93333,0.93333,0.93398,2.7e-06
29,0.05344,0.93333,0.93333,0.93398,0.0
