epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,0.45742,0.88667,0.88667,0.88724,0.0002992
1,0.10464,0.87,0.87,0.87006,0.0002967
2,0.04983,0.86,0.86,0.859,0.0002927
3,0.03315,0.86333,0.86333,0.86321,0.000287
4,0.03573,0.86,0.86,0.85895,0.0002799
5,0.04063,0.82667,0.82667,0.82433,0.0002714
6,0.02409,0.86333,0.86333,0.86294,0.0002615
7,0.03297,0.86333,0.86333,0.86119,0.0002504
8,0.02302,0.90333,0.90333,0.90433,0.0002382
9,0.01021,0.87667,0.87667,0.87582,0.000225
10,0.01338,0.89,0.89,0.88867,0.000211
11,0.00303,0.88333,0.88333,0.88203,0.0001964
12,0.0011,0.89333,0.89333,0.89319,0.0001812
13,0.00163,0.91333,0.91333,0.91363,0.0001657
14,0.00463,0.91667,0.91667,0.91815,0.00015
15,0.00406,0.9,0.9,0.89989,0.0001343
16,0.00159,0.92,0.92,0.92027,0.0001188
17,0.00057,0.92333,0.92333,0.92379,0.0001036
18,0.00034,0.91667,0.91667,0.91699,8.9e-05
19,0.00035,0.92,0.92,0.92045,7.5e-05
20,0.0002,0.91667,0.91667,0.91685,6.18e-05
21,0.0003,0.91667,0.91667,0.91685,4.96e-05
22,0.00041,0.92667,0.92667,0.92703,3.85e-05
23,0.00023,0.92667,0.92667,0.92703,2.86e-05
24,0.00028,0.92667,0.92667,0.92703,2.01e-05
25,0.00062,0.92333,0.92333,0.9237,1.3e-05
26,0.00018,0.92,0.92,0.92021,7.3e-06
27,0.00026,0.92333,0.92333,0.92353,3.3e-06
28,0.00016,0.92333,0.92333,0.92353,8e-07
29,0.00018,0.92333,0.92333,0.92353,0.0
