epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.15656,0.66667,0.66667,0.65028,0.0002992
1,0.46497,0.80667,0.80667,0.80154,0.0002967
2,0.26466,0.82,0.82,0.81114,0.0002927
3,0.24085,0.81667,0.81667,0.81647,0.000287
4,0.14131,0.76667,0.76667,0.76303,0.0002799
5,0.13439,0.74333,0.74333,0.74258,0.0002714
6,0.12534,0.77667,0.77667,0.78035,0.0002615
7,0.09624,0.77,0.77,0.76686,0.0002504
8,0.04914,0.78333,0.78333,0.78115,0.0002382
9,0.06852,0.78333,0.78333,0.78314,0.000225
10,0.03366,0.77667,0.77667,0.77108,0.000211
11,0.02892,0.82333,0.82333,0.82284,0.0001964
12,0.01214,0.80667,0.80667,0.80103,0.0001812
13,0.01466,0.81,0.81,0.8071,0.0001657
14,0.01196,0.81,0.81,0.80919,0.00015
15,0.01486,0.78,0.78,0.77611,0.0001343
16,0.02534,0.82333,0.82333,0.82402,0.0001188
17,0.01405,0.80667,0.80667,0.80611,0.0001036
18,0.00863,0.82,0.82,0.81817,8.9e-05
19,0.00744,0.83667,0.83667,0.83661,7.5e-05
20,0.01093,0.83,0.83,0.83045,6.18e-05
21,0.00525,0.8,0.8,0.80085,4.96e-05
22,0.00406,0.8,0.8,0.80085,3.85e-05
23,0.00411,0.79667,0.79667,0.7968,2.86e-05
24,0.00371,0.79667,0.79667,0.7966,2.01e-05
25,0.00368,0.80333,0.80333,0.80345,1.3e-05
26,0.00348,0.80333,0.80333,0.80345,7.3e-06
27,0.0034,0.80333,0.80333,0.80345,3.3e-06
28,0.00461,0.8,0.8,0.80006,8e-07
29,0.0034,0.8,0.8,0.80006,0.0
