epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,0.91068,0.74667,0.74667,0.73612,0.0002992
1,0.28935,0.81,0.81,0.80411,0.0002967
2,0.23451,0.76,0.76,0.75893,0.0002927
3,0.15297,0.79,0.79,0.79115,0.000287
4,0.10024,0.79,0.79,0.78197,0.0002799
5,0.11217,0.81667,0.81667,0.81561,0.0002714
6,0.0904,0.81667,0.81667,0.81892,0.0002615
7,0.06889,0.81333,0.81333,0.81411,0.0002504
8,0.06841,0.78667,0.78667,0.77366,0.0002382
9,0.04854,0.81333,0.81333,0.81655,0.000225
10,0.05128,0.75333,0.75333,0.74633,0.000211
11,0.04883,0.77667,0.77667,0.77173,0.0001964
12,0.04605,0.80667,0.80667,0.80574,0.0001812
13,0.03187,0.84,0.84,0.84008,0.0001657
14,0.0247,0.83,0.83,0.83141,0.00015
15,0.02035,0.81333,0.81333,0.81136,0.0001343
16,0.01199,0.82667,0.82667,0.82625,0.0001188
17,0.01449,0.80333,0.80333,0.80285,0.0001036
18,0.00682,0.81333,0.81333,0.81073,8.9e-05
19,0.00619,0.82667,0.82667,0.82778,7.5e-05
20,0.00436,0.81667,0.81667,0.81838,6.18e-05
21,0.00369,0.81333,0.81333,0.81388,4.96e-05
22,0.00421,0.82667,0.82667,0.82754,3.85e-05
23,0.00395,0.82667,0.82667,0.82782,2.86e-05
24,0.00329,0.82,0.82,0.82102,2.01e-05
25,0.00316,0.81333,0.81333,0.81331,1.3e-05
26,0.00255,0.81,0.81,0.80935,7.3e-06
27,0.00278,0.81,0.81,0.80935,3.3e-06
28,0.00287,0.81,0.81,0.80935,8e-07
29,0.00254,0.81,0.81,0.80935,0.0
