epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,0.5978,0.71333,0.71333,0.70672,0.0002992
1,0.22774,0.74333,0.74333,0.74177,0.0002967
2,0.20454,0.73333,0.73333,0.73247,0.0002927
3,0.13495,0.76333,0.76333,0.76241,0.000287
4,0.10167,0.78333,0.78333,0.77958,0.0002799
5,0.0956,0.77667,0.77667,0.77339,0.0002714
6,0.08119,0.74,0.74,0.73883,0.0002615
7,0.07117,0.77333,0.77333,0.77087,0.0002504
8,0.06567,0.77333,0.77333,0.77609,0.0002382
9,0.07572,0.72,0.72,0.7183,0.000225
10,0.05544,0.76333,0.76333,0.7597,0.000211
11,0.03866,0.8,0.8,0.79881,0.0001964
12,0.02455,0.75667,0.75667,0.75816,0.0001812
13,0.01817,0.76667,0.76667,0.76842,0.0001657
14,0.01132,0.78667,0.78667,0.78555,0.00015
15,0.01453,0.78,0.78,0.78185,0.0001343
16,0.01606,0.82333,0.82333,0.82151,0.0001188
17,0.00724,0.81667,0.81667,0.81516,0.0001036
18,0.00556,0.81667,0.81667,0.81531,8.9e-05
19,0.00576,0.81667,0.81667,0.8173,7.5e-05
20,0.0051,0.81333,0.81333,0.8117,6.18e-05
21,0.00691,0.82,0.82,0.81757,4.96e-05
22,0.00287,0.82667,0.82667,0.82568,3.85e-05
23,0.00406,0.82667,0.82667,0.8266,2.86e-05
24,0.00258,0.82,0.82,0.81973,2.01e-05
25,0.00163,0.82333,0.82333,0.82298,1.3e-05
26,0.00217,0.82667,0.82667,0.82622,7.3e-06
27,0.00314,0.82667,0.82667,0.82616,3.3e-06
28,0.00161,0.82667,0.82667,0.82616,8e-07
29,0.00266,0.82667,0.82667,0.82616,0.0
