epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,2.30175,0.22667,0.22667,0.17916,0.0002992
1,2.18138,0.40667,0.40667,0.3686,0.0002967
2,2.05514,0.54333,0.54333,0.52559,0.0002927
3,1.932,0.62,0.62,0.61364,0.000287
4,1.77283,0.65333,0.65333,0.64835,0.0002799
5,1.62701,0.70667,0.70667,0.70652,0.0002714
6,1.45404,0.72333,0.72333,0.72282,0.0002615
7,1.29255,0.75333,0.75333,0.75167,0.0002504
8,1.16125,0.79333,0.79333,0.7937,0.0002382
9,1.0326,0.77333,0.77333,0.77417,0.000225
10,0.89569,0.78,0.78,0.7815,0.000211
11,0.79355,0.79667,0.79667,0.79654,0.0001964
12,0.71659,0.80667,0.80667,0.80681,0.0001812
13,0.65,0.80667,0.80667,0.80671,0.0001657
14,0.58703,0.80333,0.80333,0.80362,0.00015
15,0.53352,0.80333,0.80333,0.80336,0.0001343
16,0.48924,0.8,0.8,0.79986,0.0001188
17,0.46344,0.8,0.8,0.80028,0.0001036
18,0.42451,0.80333,0.80333,0.80275,8.9e-05
19,0.39805,0.8,0.8,0.79975,7.5e-05
20,0.40225,0.79667,0.79667,0.7968,6.18e-05
21,0.37899,0.8,0.8,0.80002,4.96e-05
22,0.36819,0.80333,0.80333,0.80322,3.85e-05
23,0.36351,0.8,0.8,0.80017,2.86e-05
24,0.34144,0.8,0.8,0.80017,2.01e-05
25,0.34865,0.8,0.8,0.80017,1.3e-05
26,0.34974,0.80667,0.80667,0.80708,7.3e-06
27,0.34531,0.80333,0.80333,0.80387,3.3e-06
28,0.32963,0.80667,0.80667,0.80708,8e-07
29,0.32364,0.80333,0.80333,0.80387,0.0
